session_id,trial_id,repetition,label,sample,time_s,adc
20260914_141209_795449,1,1,REST,0,0.0,1142
20260914_141209_795449,1,1,REST,1,0.001,1139
20260914_141209_795449,1,1,REST,2,0.002,1138
20260914_141209_795449,1,1,REST,3,0.003,1135
20260914_141209_795449,1,1,REST,4,0.004,1145
20260914_141209_795449,1,1,REST,5,0.005,1129
20260914_141209_795449,1,1,REST,6,0.006,1114
20260914_141209_795449,1,1,REST,7,0.007,1117
20260914_141209_795449,1,1,REST,8,0.008,1063
20260914_141209_795449,1,1,REST,9,0.009,1104
20260914_141209_795449,1,1,REST,10,0.01,1102
20260914_141209_795449,1,1,REST,11,0.011,1104
20260914_141209_795449,1,1,REST,12,0.012,1107
20260914_141209_795449,1,1,REST,13,0.013,1114
20260914_141209_795449,1,1,REST,14,0.014,1114
20260914_141209_795449,1,1,REST,15,0.015,1113
20260914_141209_795449,1,1,REST,16,0.016,1127
20260914_141209_795449,1,1,REST,17,0.017,1123
20260914_141209_795449,1,1,REST,18,0.018,1135
20260914_141209_795449,1,1,REST,19,0.019,1136
20260914_141209_795449,1,1,REST,20,0.02,1149
20260914_141209_795449,1,1,REST,21,0.021,1136
20260914_141209_795449,1,1,REST,22,0.022,1136
20260914_141209_795449,1,1,REST,23,0.023,1136
20260914_141209_795449,1,1,REST,24,0.024,1133
20260914_141209_795449,1,1,REST,25,0.025,1126
20260914_141209_795449,1,1,REST,26,0.026,1109
20260914_141209_795449,1,1,REST,27,0.027,1104
20260914_141209_795449,1,1,REST,28,0.028,1104
20260914_141209_795449,1,1,REST,29,0.029,1104
20260914_141209_795449,1,1,REST,30,0.03,1104
20260914_141209_795449,1,1,REST,31,0.031,1104
20260914_141209_795449,1,1,REST,32,0.032,1102
20260914_141209_795449,1,1,REST,33,0.033,1117
20260914_141209_795449,1,1,REST,34,0.034,1120
20260914_141209_795449,1,1,REST,35,0.035,1115
20260914_141209_795449,1,1,REST,36,0.036,1135
20260914_141209_795449,1,1,REST,37,0.037,1135
20260914_141209_795449,1,1,REST,38,0.038,1138
20260914_141209_795449,1,1,REST,39,0.039,1136
20260914_141209_795449,1,1,REST,40,0.04,1142
20260914_141209_795449,1,1,REST,41,0.041,1054
20260914_141209_795449,1,1,REST,42,0.042,1140
20260914_141209_795449,1,1,REST,43,0.043,1136
20260914_141209_795449,1,1,REST,44,0.044,1132
20260914_141209_795449,1,1,REST,45,0.045,1125
20260914_141209_795449,1,1,REST,46,0.046,1120
20260914_141209_795449,1,1,REST,47,0.047,1104
20260914_141209_795449,1,1,REST,48,0.048,1117
20260914_141209_795449,1,1,REST,49,0.049,1111
20260914_141209_795449,1,1,REST,50,0.05,1090
20260914_141209_795449,1,1,REST,51,0.051,1093
20260914_141209_795449,1,1,REST,52,0.052,1108
20260914_141209_795449,1,1,REST,53,0.053,1112
20260914_141209_795449,1,1,REST,54,0.054,1116
20260914_141209_795449,1,1,REST,55,0.055,1126
20260914_141209_795449,1,1,REST,56,0.056,1132
20260914_141209_795449,1,1,REST,57,0.057,1130
20260914_141209_795449,1,1,REST,58,0.058,1132
20260914_141209_795449,1,1,REST,59,0.059,1135
20260914_141209_795449,1,1,REST,60,0.06,1150
20260914_141209_795449,1,1,REST,61,0.061,1163
20260914_141209_795449,1,1,REST,62,0.062,1131
20260914_141209_795449,1,1,REST,63,0.063,1135
20260914_141209_795449,1,1,REST,64,0.064,1136
20260914_141209_795449,1,1,REST,65,0.065,1127
20260914_141209_795449,1,1,REST,66,0.066,1114
20260914_141209_795449,1,1,REST,67,0.067,1109
20260914_141209_795449,1,1,REST,68,0.068,1111
20260914_141209_795449,1,1,REST,69,0.069,1105
20260914_141209_795449,1,1,REST,70,0.07,1104
20260914_141209_795449,1,1,REST,71,0.071,1103
20260914_141209_795449,1,1,REST,72,0.072,1098
20260914_141209_795449,1,1,REST,73,0.073,1107
20260914_141209_795449,1,1,REST,74,0.074,1114
20260914_141209_795449,1,1,REST,75,0.075,1119
20260914_141209_795449,1,1,REST,76,0.076,1126
20260914_141209_795449,1,1,REST,77,0.077,1135
20260914_141209_795449,1,1,REST,78,0.078,1136
20260914_141209_795449,1,1,REST,79,0.079,1136
